,웹툰이름,썸네일경로,웹툰디테일경로,집단,x,y,군집
64,오늘의 비너스,https://image-comic.pstatic.net/webtoon/793944/thumbnail/thumbnail_IMAG21_0c4cd9dc-26bc-4977-88ab-ec2939612bba.jpg,https://comic.naver.com/webtoon/list?titleId=793944,3,4.865502834320068,-1.7817283868789673,3.0
65,"집사, 주세요!",https://image-comic.pstatic.net/webtoon/802033/thumbnail/thumbnail_IMAG21_ccce5530-0976-4a0d-b76c-d54c5620cdd5.jpg,https://comic.naver.com/webtoon/list?titleId=802033,2,-3.4199700355529785,1.625704288482666,2.0
66,메리의 불타는 행복회로,https://image-comic.pstatic.net/webtoon/797253/thumbnail/thumbnail_IMAG21_3adf296f-505b-4824-98b0-61c28432fb2d.jpg,https://comic.naver.com/webtoon/list?titleId=797253,4,-3.7252397537231445,-6.408568382263184,4.0
67,포스트 팬데믹,https://image-comic.pstatic.net/webtoon/807159/thumbnail/thumbnail_IMAG21_e7c75b1e-7bc4-484b-874d-1245f114479e.jpg,https://comic.naver.com/webtoon/list?titleId=807159,0,-2.041471481323242,0.5794225931167603,0.0
68,퇴근 후에 만나요,https://image-comic.pstatic.net/webtoon/801517/thumbnail/thumbnail_IMAG21_0a77b0a7-0677-4228-b88b-84619093999f.jpg,https://comic.naver.com/webtoon/list?titleId=801517,4,-0.23877571523189545,-0.16769801080226898,4.0
69,지옥연애환담,https://image-comic.pstatic.net/webtoon/794156/thumbnail/thumbnail_IMAG21_759dc2a2-7315-4c34-a980-36e176614795.jpeg,https://comic.naver.com/webtoon/list?titleId=794156,2,-2.275047540664673,2.2364563941955566,2.0
70,모스크바의 여명,https://image-comic.pstatic.net/webtoon/772243/thumbnail/thumbnail_IMAG21_3918807214864216674.jpg,https://comic.naver.com/webtoon/list?titleId=772243,3,3.568622589111328,0.6190995573997498,3.0
71,세번째 로망스,https://image-comic.pstatic.net/webtoon/796368/thumbnail/thumbnail_IMAG21_9f304f70-bc24-4cdc-b582-8d1b63d013e0.jpg,https://comic.naver.com/webtoon/list?titleId=796368,3,3.0761477947235107,-0.18319106101989746,3.0
72,트러블리걸,https://image-comic.pstatic.net/webtoon/808074/thumbnail/thumbnail_IMAG21_d4899238-5123-443d-826c-f70b1f3618a5.jpg,https://comic.naver.com/webtoon/list?titleId=808074,3,2.750227689743042,-2.0093438625335693,3.0
73,역주행!,https://image-comic.pstatic.net/webtoon/776256/thumbnail/thumbnail_IMAG21_d520a876-7403-4349-a56a-f1203882bed2.jpg,https://comic.naver.com/webtoon/list?titleId=776256,0,-5.700611114501953,-0.9036961793899536,0.0
74,슈퍼스타 천대리,https://image-comic.pstatic.net/webtoon/785749/thumbnail/thumbnail_IMAG21_7d010b0f-a77f-4449-a910-1816e2c547cc.jpg,https://comic.naver.com/webtoon/list?titleId=785749,2,-3.5632245540618896,5.366262435913086,2.0
75,굿바이 유교보이,https://image-comic.pstatic.net/webtoon/798293/thumbnail/thumbnail_IMAG21_fcea0ff3-a906-43f7-b801-aaf8a2d48b23.jpg,https://comic.naver.com/webtoon/list?titleId=798293,0,-3.4478182792663574,-1.6174358129501343,0.0
76,버그이터,https://image-comic.pstatic.net/webtoon/793067/thumbnail/thumbnail_IMAG21_3544444194497192757.jpg,https://comic.naver.com/webtoon/list?titleId=793067,0,-4.27864408493042,-1.6884002685546875,0.0
77,최후의 금빛아이,https://image-comic.pstatic.net/webtoon/772734/thumbnail/thumbnail_IMAG21_fdecfea5-8ca1-4a32-9c55-34a30f24266d.jpg,https://comic.naver.com/webtoon/list?titleId=772734,0,-5.8937506675720215,2.420501470565796,0.0
78,토마토가 돼라!,https://image-comic.pstatic.net/webtoon/805702/thumbnail/thumbnail_IMAG21_e7e812d2-5d0a-46c6-8a39-b67a5010a7bc.jpg,https://comic.naver.com/webtoon/list?titleId=805702,3,3.0964698791503906,-1.6020399332046509,3.0
79,악취해결사,https://image-comic.pstatic.net/webtoon/807600/thumbnail/thumbnail_IMAG21_f1a481c2-78fb-433d-8db4-01e31b150755.jpg,https://comic.naver.com/webtoon/list?titleId=807600,4,0.13347488641738892,-2.9351675510406494,4.0
80,루크 비셸 따라잡기,https://image-comic.pstatic.net/webtoon/794939/thumbnail/thumbnail_IMAG21_78e1e689-f14c-4fe4-a9fa-27953c051124.jpg,https://comic.naver.com/webtoon/list?titleId=794939,3,2.9375197887420654,0.03599454462528229,3.0
81,결혼공략,https://image-comic.pstatic.net/webtoon/792317/thumbnail/thumbnail_IMAG21_524ed207-a4c2-4864-b8e1-3aef96a7ba41.jpg,https://comic.naver.com/webtoon/list?titleId=792317,4,0.221313014626503,-0.9907422065734863,4.0
82,연애 연기대상,https://image-comic.pstatic.net/webtoon/803123/thumbnail/thumbnail_IMAG21_4a7c5fbd-fe54-484c-a2e6-0ec548fbbb5c.jpg,https://comic.naver.com/webtoon/list?titleId=803123,0,-6.957218647003174,2.628166913986206,0.0
83,중독연구소,https://image-comic.pstatic.net/webtoon/740132/thumbnail/thumbnail_IMAG21_d6f6e062-23d4-432a-a4be-6e1e66f63ede.jpg,https://comic.naver.com/webtoon/list?titleId=740132,1,3.7725820541381836,4.210916519165039,1.0
84,디나운스,https://image-comic.pstatic.net/webtoon/789591/thumbnail/thumbnail_IMAG21_7005123160025948516.jpg,https://comic.naver.com/webtoon/list?titleId=789591,0,-3.9362149238586426,-1.0655603408813477,0.0
85,백호랑,https://image-comic.pstatic.net/webtoon/745654/thumbnail/thumbnail_IMAG21_3978989878055821874.jpg,https://comic.naver.com/webtoon/list?titleId=745654,4,-0.703896164894104,-1.4072456359863281,4.0
86,행운을 부탁해!,https://image-comic.pstatic.net/webtoon/799868/thumbnail/thumbnail_IMAG21_edfa4344-9f13-4a6c-8b9f-00d08cf37a1d.jpg,https://comic.naver.com/webtoon/list?titleId=799868,3,1.9689198732376099,-1.271445870399475,3.0
87,오로지 오로라,https://image-comic.pstatic.net/webtoon/764623/thumbnail/thumbnail_IMAG21_7305232428546929716.jpg,https://comic.naver.com/webtoon/list?titleId=764623,2,-1.2293416261672974,4.942286968231201,2.0
88,별을 쫓는 소년들,https://image-comic.pstatic.net/webtoon/786979/thumbnail/thumbnail_IMAG21_495b3195-2185-458e-a07b-4af0f4ff6532.jpg,https://comic.naver.com/webtoon/list?titleId=786979,2,-1.7020132541656494,5.001120090484619,2.0
89,김부장,https://image-comic.pstatic.net/webtoon/783053/thumbnail/thumbnail_IMAG21_d7732f14-26da-4e35-8762-660cc87b53f1.jpg,https://comic.naver.com/webtoon/list?titleId=783053,1,1.698982834815979,4.443778991699219,1.0
90,내가 키운 S급들,https://image-comic.pstatic.net/webtoon/784248/thumbnail/thumbnail_IMAG21_20a8aca7-23d3-4bc0-9916-a31ebc884ca8.jpg,https://comic.naver.com/webtoon/list?titleId=784248,4,-1.7489724159240723,-3.019681930541992,4.0
91,마루는 강쥐,https://image-comic.pstatic.net/webtoon/796152/thumbnail/thumbnail_IMAG21_26b9c1d8-ca2d-4fc7-87ea-a3334634236a.jpg,https://comic.naver.com/webtoon/list?titleId=796152,3,5.954034328460693,-0.3595058023929596,3.0
92,대학원 탈출일지,https://image-comic.pstatic.net/webtoon/790713/thumbnail/thumbnail_IMAG21_3919364435331003700.jpg,https://comic.naver.com/webtoon/list?titleId=790713,3,8.34468936920166,2.580310821533203,3.0
93,신과함께 돌아온 기사왕님,https://image-comic.pstatic.net/webtoon/809618/thumbnail/thumbnail_IMAG21_118a7124-11b6-4eed-b04a-20ee139256c1.jpg,https://comic.naver.com/webtoon/list?titleId=809618,0,-5.670272350311279,-1.7533228397369385,0.0
94,사신소년,https://image-comic.pstatic.net/webtoon/730656/thumbnail/thumbnail_IMAG21_fc6d8dbf-eed2-43d0-af45-2edb3cc4244e.jpg,https://comic.naver.com/webtoon/list?titleId=730656,0,-7.555402755737305,-2.0315937995910645,0.0
95,한림체육관,https://image-comic.pstatic.net/webtoon/743139/thumbnail/thumbnail_IMAG21_6012f944-ea1f-4328-ba22-bca09be494ee.jpg,https://comic.naver.com/webtoon/list?titleId=743139,0,-5.278359413146973,-4.000569820404053,0.0
96,멸망 이후의 세계,https://image-comic.pstatic.net/webtoon/789979/thumbnail/thumbnail_IMAG21_3918466168707821881.jpg,https://comic.naver.com/webtoon/list?titleId=789979,2,-3.630873918533325,2.708104372024536,2.0
97,이번 생도 잘 부탁해 - 기억의 한 조각,https://image-comic.pstatic.net/webtoon/809590/thumbnail/thumbnail_IMAG21_4baeeccb-9e08-4678-9626-1b2041dea5f8.jpg,https://comic.naver.com/webtoon/list?titleId=809590,1,2.0718655586242676,0.7678406834602356,1.0
98,하루만 네가 되고 싶어,https://image-comic.pstatic.net/webtoon/738487/thumbnail/thumbnail_IMAG21_66eac5ec-876b-469e-ab05-81261fddde8d.jpg,https://comic.naver.com/webtoon/list?titleId=738487,2,-4.385004043579102,3.2364141941070557,2.0
99,사변괴담,https://image-comic.pstatic.net/webtoon/804783/thumbnail/thumbnail_IMAG21_a80f7760-3c93-4002-84d4-eece85593f84.jpg,https://comic.naver.com/webtoon/list?titleId=804783,2,-6.354471206665039,6.862181663513184,2.0
100,헬58,https://image-comic.pstatic.net/webtoon/719508/thumbnail/thumbnail_IMAG21_4049636999763944505.jpg,https://comic.naver.com/webtoon/list?titleId=719508,4,0.19561469554901123,-2.311732053756714,4.0
101,삼국지톡,https://image-comic.pstatic.net/webtoon/711422/thumbnail/thumbnail_IMAG21_fd8cb5db-01ab-4c7b-a2a9-920d4479d5f7.jpg,https://comic.naver.com/webtoon/list?titleId=711422,4,0.5822287797927856,-2.4294345378875732,4.0
102,하북팽가 막내아들,https://image-comic.pstatic.net/webtoon/783877/thumbnail/thumbnail_IMAG21_3904965231037146418.jpg,https://comic.naver.com/webtoon/list?titleId=783877,0,-5.402449607849121,0.5791526436805725,0.0
103,용사가 돌아왔다,https://image-comic.pstatic.net/webtoon/773459/thumbnail/thumbnail_IMAG21_eca1d3b4-0924-41c0-b233-ddbe431bf5b3.jpg,https://comic.naver.com/webtoon/list?titleId=773459,2,-4.434865474700928,3.7520980834960938,2.0
104,궤짝,https://image-comic.pstatic.net/webtoon/802389/thumbnail/thumbnail_IMAG21_2c396e53-5710-47b4-b9ae-0b9582454479.jpg,https://comic.naver.com/webtoon/list?titleId=802389,1,0.8048969507217407,6.026586055755615,1.0
105,악몽의 형상,https://image-comic.pstatic.net/webtoon/793283/thumbnail/thumbnail_IMAG21_4136055320174945841.jpg,https://comic.naver.com/webtoon/list?titleId=793283,4,1.453770637512207,-5.87120246887207,4.0
106,시한부인 줄 알았어요!,https://image-comic.pstatic.net/webtoon/801711/thumbnail/thumbnail_IMAG21_bf581fbe-7d3d-4ff6-bfd3-a973f3c65aa1.jpg,https://comic.naver.com/webtoon/list?titleId=801711,1,1.287877082824707,1.495766520500183,1.0
107,놓지마 정신줄 시즌3,https://image-comic.pstatic.net/webtoon/801589/thumbnail/thumbnail_IMAG21_1b439234-e17d-4fb8-9eef-5d2d4173234c.jpg,https://comic.naver.com/webtoon/list?titleId=801589,3,5.600458145141602,-0.7918026447296143,3.0
